,ward,diagnosis,Gross_Amount,# of Patient
1809,Kahawa West,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,9813.28,1
1810,Kahawa West,Acute nasopharyngitis [common cold],98224.26,24
1811,Kahawa West,Acute pharyngitis,206078.94,26
1812,Kahawa West,Acute pharyngitis - unspecified,2580.2,1
1813,Kahawa West,Acute pharyngitis due to other specified organisms - Acute pharyngitis,3385.6,1
1814,Kahawa West,Acute sinusitis,5714.5599999999995,2
1815,Kahawa West,Acute tonsillitis,244740.05,29
1816,Kahawa West,Acute tonsillitis - unspecified,15993.11,3
1817,Kahawa West,Acute upper respiratory infection - unspecified,48976.46,9
1818,Kahawa West,Acute upper respiratory infections of multiple and unspecified sites,3946.2700000000004,2
1819,Kahawa West,Alcoholic gastritis - Gastritis and duodenitis,3526.72,1
1820,Kahawa West,Allergic contact dermatitis,36634.8,6
1821,Kahawa West,Allergic rhinitis - unspecified,8444.32,3
1822,Kahawa West,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,7936.16,1
1823,Kahawa West,Amoebiasis,8000.0,1
1824,Kahawa West,Anaemia - unspecified,9844.18,3
1825,Kahawa West,Antenatal screening,15158.62,2
1826,Kahawa West,Antifungal antibiotics - systemically used,2999.42,1
1827,Kahawa West,Asthma,13182.400000000001,3
1828,Kahawa West,Asthma - unspecified,2612.8,1
1829,Kahawa West,Atopic dermatitis,3877.28,1
1830,Kahawa West,Bacterial pneumonia - not elsewhere classified,11632.38,1
1831,Kahawa West,Bladder disorders in diseases classified elsewhere,97541.0,1
1832,Kahawa West,Calculus of lower urinary tract,25531.1,5
1833,Kahawa West,Calculus of lower urinary tract - unspecified,7895.07,1
1834,Kahawa West,Carcinoma in situ: Eye - Carcinoma in situ of other and unspecified sites,1267.68,1
1835,Kahawa West,Cardiomyopathy,5290.6,1
1836,Kahawa West,Cellulitis - unspecified,5208.12,2
1837,Kahawa West,Chest pain - unspecified,19368.64,2
1838,Kahawa West,Chronic atrophic gastritis - Gastritis and duodenitis,1000.0,1
1839,Kahawa West,Chronic gastritis - unspecified,2393.28,1
1840,Kahawa West,Chronic nasopharyngitis - Chronic rhinitis,19538.18,3
1841,Kahawa West,Conjunctivitis,10797.1,4
1842,Kahawa West,Cough,9186.17,2
1843,Kahawa West,Crushing injuries involving multiple body regions,2402.72,1
1844,Kahawa West,Cutaneous abscess - furuncle and carbuncle,4562.38,1
1845,Kahawa West,Dental caries,62730.44,10
1846,Kahawa West,Dental caries - unspecified,13528.44,4
1847,Kahawa West,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,9784.54,1
1848,Kahawa West,Disorders of initiating and maintaining sleep [insomnias] - Sleep disorders,5804.59,1
1849,Kahawa West,Disorders of tooth development and eruption,12278.76,1
1850,Kahawa West,Disruption of operation wound - not elsewhere classified,2681.28,1
1851,Kahawa West,Enlarged and hypertrophic nails - Other congenital malformations of integument,3682.35,1
1852,Kahawa West,Essential (primary) hypertension,41505.799999999996,9
1853,Kahawa West,Female infertility,500.0,1
1854,Kahawa West,Fever of other and unknown origin,922.88,1
1855,Kahawa West,Fibromyalgia - Other soft tissue disorders,16792.0,1
1856,Kahawa West,Functional diarrhoea - Other functional intestinal disorders,2543.36,1
1857,Kahawa West,Functional dyspepsia,8124.16,2
1858,Kahawa West,Gastritis - unspecified,81492.92,18
1859,Kahawa West,Gastritis and duodenitis,30437.46,7
1860,Kahawa West,Gastro-oesophageal reflux disease,4048.64,1
1861,Kahawa West,Headache,73662.74,4
1862,Kahawa West,Hereditary and idiopathic neuropathy,6040.8,1
1863,Kahawa West,Hyperplasia of prostate,12819.400000000001,2
1864,Kahawa West,Hypertensive heart disease,35314.68,9
1865,Kahawa West,Infections of genitourinary tract in pregnancy,3192.0,1
1866,Kahawa West,Iron deficiency anaemia,2654.4,1
1867,Kahawa West,Leiomyoma of uterus,12671.869999999999,2
1868,Kahawa West,Lumbago with sciatica - Dorsalgia,25729.11,3
1869,Kahawa West,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,17515.84,3
1870,Kahawa West,Malignant neoplasm: Tonsil - unspecified,2235.4,1
1871,Kahawa West,Need for immunization against combinations of infectious diseases,3339.68,1
1872,Kahawa West,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,9519.04,2
1873,Kahawa West,Neuralgia and neuritis - unspecified,3476.32,1
1874,Kahawa West,Osteopetrosis - Other osteochondrodysplasias,10382.08,1
1875,Kahawa West,Other abnormal uterine and vaginal bleeding,11204.4,2
1876,Kahawa West,Other acute gastritis - Gastritis and duodenitis,3325.12,1
1877,Kahawa West,Other antenatal screening - Antenatal screening,4016.0,1
1878,Kahawa West,Other arthritis,7466.88,1
1879,Kahawa West,Other specified diabetes mellitus,13244.8,2
1880,Kahawa West,Other specified urinary incontinence - Other disorders of urinary system,2736.0,1
1881,Kahawa West,Primary amenorrhoea - Absent,4514.11,1
1882,Kahawa West,Pulpitis - Diseases of pulp and periapical tissues,10849.34,3
1883,Kahawa West,Routine general health check-up of defined subpopulation,1799.56,1
1884,Kahawa West,Sciatica - Dorsalgia,2120.0,1
1885,Kahawa West,Supervision of high-risk pregnancy,17746.22,3
1886,Kahawa West,Supervision of high-risk pregnancy - unspecified,3835.2,1
1887,Kahawa West,Supervision of normal pregnancy,5144.0,1
1888,Kahawa West,Supervision of other high-risk pregnancies - Supervision of high-risk pregnancy,7703.2,1
1889,Kahawa West,Type 2 diabetes mellitus,30449.96,4
1890,Kahawa West,Unspecified diabetes mellitus,33683.14,9
1891,Kahawa West,Unspecified injury of ankle and foot - Other and unspecified injuries of ankle and foot,10252.32,1
1892,Kahawa West,Urethral abscess - Urethritis and urethral syndrome,3459.4,2
1893,Kahawa West,Urinary tract infection - site not specified,6110.12,3
1894,Kahawa West,Varicella [chickenpox],3424.8,1
1895,Kangemi Ward,Abdominal and pelvic pain,5834.88,2
1896,Kangemi Ward,Acute bronchiolitis,2641.44,1
1897,Kangemi Ward,Acute laryngitis - Acute laryngitis and tracheitis,11763.04,2
1898,Kangemi Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,12259.15,2
1899,Kangemi Ward,Acute nasopharyngitis [common cold],93110.68,23
1900,Kangemi Ward,Acute pharyngitis,97998.95,17
1901,Kangemi Ward,Acute tonsillitis,162704.45,34
1902,Kangemi Ward,Acute tonsillitis - unspecified,15778.8,4
1903,Kangemi Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,13553.04,3
1904,Kangemi Ward,Acute upper respiratory infection - unspecified,163207.16,15
1905,Kangemi Ward,Acute upper respiratory infections of multiple and unspecified sites,7338.02,3
1906,Kangemi Ward,Acute vulvitis - Other inflammation of vagina and vulva,2680.0,1
1907,Kangemi Ward,Alcoholic gastritis - Gastritis and duodenitis,769.32,1
1908,Kangemi Ward,Allergic contact dermatitis,9861.92,3
1909,Kangemi Ward,Allergic rhinitis - unspecified,44653.08,7
1910,Kangemi Ward,Amoebiasis,38821.64,7
1911,Kangemi Ward,Anaemia - unspecified,12655.84,2
1912,Kangemi Ward,Asthma,11571.77,3
1913,Kangemi Ward,Atopic dermatitis,6602.95,2
1914,Kangemi Ward,Bacterial pneumonia - unspecified,8955.48,3
1915,Kangemi Ward,Benign lipomatous neoplasm,4685.8,1
1916,Kangemi Ward,Benign neoplasm: Tonsil - Benign neoplasm of mouth and pharynx,4046.0,1
1917,Kangemi Ward,Calculus of lower urinary tract,15847.68,2
1918,Kangemi Ward,Calculus of lower urinary tract - unspecified,1209.6,1
1919,Kangemi Ward,Cervical disc disorders,3086.4,1
1920,Kangemi Ward,Chronic nasopharyngitis - Chronic rhinitis,8977.44,3
1921,Kangemi Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,100.0,1
1922,Kangemi Ward,Chronic rhinitis,500.0,1
1923,Kangemi Ward,Conjunctivitis,16085.5,3
1924,Kangemi Ward,Contraceptive management,9120.41,2
1925,Kangemi Ward,Cramp and spasm - Abnormal involuntary movements,3270.24,1
1926,Kangemi Ward,Cutaneous abscess - furuncle and carbuncle,19209.120000000003,2
1927,Kangemi Ward,Dental caries,74831.59,15
1928,Kangemi Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - insulin-dependent,500.0,1
1929,Kangemi Ward,Disorder of breast - unspecified,10010.4,2
1930,Kangemi Ward,Disorder of muscle - unspecified,1904.96,1
1931,Kangemi Ward,Essential (primary) hypertension,44567.44,9
1932,Kangemi Ward,Female pelvic inflammatory disease - unspecified,14556.8,2
1933,Kangemi Ward,Foreign body entering into or through eye or natural orifice,1154.72,1
1934,Kangemi Ward,Functional dyspepsia,19977.739999999998,5
1935,Kangemi Ward,Gastritis - unspecified,70168.7,17
1936,Kangemi Ward,Gastritis and duodenitis,20786.52,6
1937,Kangemi Ward,Gastro-oesophageal reflux disease,126103.64,2
1938,Kangemi Ward,Gastroenteritis and colitis due to radiation - Other noninfective gastroenteritis and colitis,3114.0,1
1939,Kangemi Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,1001.0,1
1940,Kangemi Ward,Glaucoma in endocrine - nutritional and metabolic diseases,2577.44,1
1941,Kangemi Ward,Gout,13370.119999999999,2
1942,Kangemi Ward,Gout - unspecified,2110.72,1
1943,Kangemi Ward,Headache,4390.4,1
1944,Kangemi Ward,Hyperlipidaemia - unspecified,5500.0,1
1945,Kangemi Ward,Hypertensive heart disease,8950.28,4
1946,Kangemi Ward,Injury of muscle and tendon at shoulder and upper arm level,1001.0,1
1947,Kangemi Ward,Iron deficiency anaemia,5343.36,1
1948,Kangemi Ward,Lumbago with sciatica - Dorsalgia,13266.04,3
1949,Kangemi Ward,Malignant neoplasm: Connective and soft tissue - unspecified,20610.14,1
1950,Kangemi Ward,Malignant neoplasm: Tonsil - unspecified,8544.0,1
1951,Kangemi Ward,Migraine,2957.28,1
1952,Kangemi Ward,Mumps,13110.24,3
1953,Kangemi Ward,Myositis - unspecified,1060.0,1
1954,Kangemi Ward,Nausea and vomiting,2135.68,1
1955,Kangemi Ward,Need for immunization against combinations of infectious diseases,21165.340000000004,5
1956,Kangemi Ward,Nonsuppurative otitis media,1000.0,1
1957,Kangemi Ward,Nonsuppurative otitis media - unspecified,2812.85,1
1958,Kangemi Ward,Open wound of vagina and vulva - Open wound of abdomen,3205.28,1
1959,Kangemi Ward,Other abnormal uterine and vaginal bleeding,7140.08,2
1960,Kangemi Ward,Other acute gastritis - Gastritis and duodenitis,1000.0,1
1961,Kangemi Ward,Other disorders of breast,11363.04,2
1962,Kangemi Ward,Other mononeuropathies,2276.8,1
1963,Kangemi Ward,Other postsurgical states,1000.0,1
1964,Kangemi Ward,Other specified diabetes mellitus,5852.96,1
1965,Kangemi Ward,Other specified disorders of urinary system - Other disorders of urinary system,6836.32,1
1966,Kangemi Ward,Other superficial mycoses,3384.36,1
1967,Kangemi Ward,Otitis media in diseases classified elsewhere,14031.42,1
1968,Kangemi Ward,Peptic ulcer - site unspecified,6424.0,1
1969,Kangemi Ward,Polymyalgia rheumatica - Other systemic involvement of connective tissue,2271.2,1
1970,Kangemi Ward,Primary generalized (osteo)arthrosis - Polyarthrosis,10094.4,1
1971,Kangemi Ward,Pulpitis - Diseases of pulp and periapical tissues,8143.52,3
1972,Kangemi Ward,Sciatica - Dorsalgia,11977.92,2
1973,Kangemi Ward,Supervision of high-risk pregnancy,12697.8,3
1974,Kangemi Ward,Supervision of normal pregnancy,12147.14,3
1975,Kangemi Ward,Tinea corporis - Dermatophytosis,14407.24,3
1976,Kangemi Ward,Type 2 diabetes mellitus,11138.44,3
1977,Kangemi Ward,Unspecified diabetes mellitus,51816.67,9
1978,Kangemi Ward,Urethral abscess - Urethritis and urethral syndrome,1523.04,1
1979,Kangemi Ward,Urinary tract infection - site not specified,8178.6,3
1980,Kangemi Ward,Viral warts,840.0,1
1981,Karen Ward,Abdominal and pelvic pain,12429.72,3
1982,Karen Ward,Acquired haemolytic anaemia,2284.52,1
1983,Karen Ward,Acute laryngitis - Acute laryngitis and tracheitis,11112.0,3
1984,Karen Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,12912.87,2
1985,Karen Ward,Acute lymphadenitis,16832.46,2
1986,Karen Ward,Acute nasopharyngitis [common cold],254553.91999999998,33
1987,Karen Ward,Acute pharyngitis,99223.58,24
1988,Karen Ward,Acute pharyngitis due to other specified organisms - Acute pharyngitis,5364.64,1
1989,Karen Ward,Acute sinusitis,10101.44,2
1990,Karen Ward,Acute sinusitis - unspecified,3250.6,1
1991,Karen Ward,Acute tonsillitis,121117.46,23
1992,Karen Ward,Acute tonsillitis - unspecified,12850.6,3
1993,Karen Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,3603.51,1
1994,Karen Ward,Acute upper respiratory infection - unspecified,49887.92,9
1995,Karen Ward,Acute upper respiratory infections of multiple and unspecified sites,16987.84,4
1996,Karen Ward,Acute vaginitis - Other inflammation of vagina and vulva,11137.560000000001,2
1997,Karen Ward,Acute vulvitis - Other inflammation of vagina and vulva,1822.08,1
1998,Karen Ward,Adenoviral pneumonia - Viral pneumonia,2982.4,1
1999,Karen Ward,Alcoholic gastritis - Gastritis and duodenitis,26186.190000000002,2
2000,Karen Ward,Allergic contact dermatitis,41737.9,7
2001,Karen Ward,Allergic rhinitis - unspecified,28595.58,6
2002,Karen Ward,Amoebiasis,2000.0,1
2003,Karen Ward,Antenatal screening,3065.2,1
2004,Karen Ward,Asthma - unspecified,5690.24,1
2005,Karen Ward,Atopic dermatitis,3352.0,1
2006,Karen Ward,Bacterial pneumonia - unspecified,18999.690000000002,3
2007,Karen Ward,Bladder disorders in diseases classified elsewhere,1000.0,1
2008,Karen Ward,Calculus of lower urinary tract,16515.2,3
2009,Karen Ward,Chest pain - unspecified,2812.16,1
2010,Karen Ward,Chronic nasopharyngitis - Chronic rhinitis,8822.560000000001,2
2011,Karen Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,2970.4,1
2012,Karen Ward,Chronic rhinitis,7978.360000000001,2
2013,Karen Ward,Conjunctivitis,2800.0,1
2014,Karen Ward,Contusion of elbow - Superficial injury of forearm,2844.64,1
2015,Karen Ward,Cramp and spasm - Abnormal involuntary movements,3049.6,1
2016,Karen Ward,Cutaneous abscess - furuncle and carbuncle,6032.0,3
2017,Karen Ward,Dental caries,46863.65,11
2018,Karen Ward,Dental caries - unspecified,2517.0,1
2019,Karen Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,7021.0,1
2020,Karen Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,12223.68,1
2021,Karen Ward,Disorder of breast - unspecified,4024.0,1
2022,Karen Ward,Disorder of external ear - unspecified,10626.36,2
2023,Karen Ward,Disorder of muscle - unspecified,4988.48,1
2024,Karen Ward,Disorders of tooth development and eruption,2834.0,1
2025,Karen Ward,Dyspnoea - Abnormalities of breathing,2491.84,1
2026,Karen Ward,Essential (primary) hypertension,36403.6,9
2027,Karen Ward,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,1075.2,1
2028,Karen Ward,Fever - unspecified,6583.2,1
2029,Karen Ward,Fever of other and unknown origin,2039.6,1
2030,Karen Ward,Fibromyalgia - Other soft tissue disorders,7040.0,2
2031,Karen Ward,Fracture of thumb - Fracture at wrist and hand level,7237.92,1
2032,Karen Ward,Functional dyspepsia,12453.4,3
2033,Karen Ward,Gastritis - unspecified,67287.48,18
2034,Karen Ward,Gastritis and duodenitis,36176.79,7
2035,Karen Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,6563.2,1
2036,Karen Ward,Gout - unspecified,13935.0,4
2037,Karen Ward,Headache,7478.0,3
2038,Karen Ward,Hyperplasia of prostate,4016.0,1
2039,Karen Ward,Hypertensive heart disease,29429.04,6
2040,Karen Ward,Keratoderma in diseases classified elsewhere,13599.84,2
2041,Karen Ward,Lumbago with sciatica - Dorsalgia,8081.4400000000005,3
2042,Karen Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,2225.0,1
2043,Karen Ward,Mononeuropathy - unspecified,17051.4,1
2044,Karen Ward,Multiple open wounds of ankle and foot - Open wound of ankle and foot,6824.0,1
2045,Karen Ward,Multiple open wounds of forearm - Open wound of forearm,1110.0,1
2046,Karen Ward,Mumps,4922.84,1
2047,Karen Ward,Nausea and vomiting,3791.04,1
2048,Karen Ward,Need for immunization against combinations of infectious diseases,9153.12,1
2049,Karen Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,8125.0,1
2050,Karen Ward,Nonsuppurative otitis media,9658.72,1
2051,Karen Ward,Other acute gastritis - Gastritis and duodenitis,9832.0,2
2052,Karen Ward,Other chest pain - Pain in throat and chest,1193.76,1
2053,Karen Ward,Other urethritis - Urethritis and urethral syndrome,5946.64,1
2054,Karen Ward,Plantar fascial fibromatosis - Fibroblastic disorders,2632.0,1
2055,Karen Ward,Primary dysmenorrhoea - Pain and other conditions associated with female genital organs and menstrual cycle,2284.8,1
2056,Karen Ward,Pulpitis - Diseases of pulp and periapical tissues,2632.0,1
2057,Karen Ward,Sciatica - Dorsalgia,2644.52,2
2058,Karen Ward,Supervision of high-risk pregnancy,9581.04,2
2059,Karen Ward,Tinea corporis - Dermatophytosis,12089.76,3
2060,Karen Ward,Tinea pedis - Dermatophytosis,6683.5599999999995,2
2061,Karen Ward,Type 2 diabetes mellitus,3029.44,1
2062,Karen Ward,Unspecified diabetes mellitus,26721.96,5
2063,Karen Ward,Urinary tract infection - site not specified,2369.6,1
2064,Karen Ward,Varicella [chickenpox],5459.84,1
2065,Kariobangi North Ward,Acute appendicitis,560.0,1
2066,Kariobangi North Ward,Acute bronchiolitis,1677.0,1
2067,Kariobangi North Ward,Acute laryngitis - Acute laryngitis and tracheitis,4547.04,1
2068,Kariobangi North Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,33572.24,7
2069,Kariobangi North Ward,Acute nasopharyngitis [common cold],74581.16,18
2070,Kariobangi North Ward,Acute pharyngitis,65551.43,17
2071,Kariobangi North Ward,Acute pharyngitis - unspecified,3239.56,1
2072,Kariobangi North Ward,Acute tonsillitis,126915.79,32
2073,Kariobangi North Ward,Acute tonsillitis - unspecified,21089.04,4
2074,Kariobangi North Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,10690.3,1
2075,Kariobangi North Ward,Acute upper respiratory infection - unspecified,51646.31,9
2076,Kariobangi North Ward,Acute upper respiratory infections of multiple and unspecified sites,6248.04,1
2077,Kariobangi North Ward,Acute vaginitis - Other inflammation of vagina and vulva,16080.8,5
2078,Kariobangi North Ward,Adenoviral pneumonia - Viral pneumonia,15770.24,2
2079,Kariobangi North Ward,Alcoholic gastritis - Gastritis and duodenitis,22581.760000000002,3
2080,Kariobangi North Ward,Allergic contact dermatitis,32397.1,8
2081,Kariobangi North Ward,Allergic rhinitis - unspecified,33821.57,10
2082,Kariobangi North Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,3912.0,1
2083,Kariobangi North Ward,Amoebiasis,4258.52,2
2084,Kariobangi North Ward,Anaemia - unspecified,5134.88,1
2085,Kariobangi North Ward,Antenatal screening,19086.68,4
2086,Kariobangi North Ward,Arthritis - unspecified,16858.4,3
2087,Kariobangi North Ward,Asthma,10604.68,2
2088,Kariobangi North Ward,Atopic dermatitis,13854.48,3
2089,Kariobangi North Ward,Bacterial pneumonia - unspecified,7350.08,2
2090,Kariobangi North Ward,Benign lipomatous neoplasm,1560.0,1
2091,Kariobangi North Ward,Burn and corrosion - body region unspecified,100.0,1
2092,Kariobangi North Ward,Burn and corrosion of wrist and hand,8000.0,1
2093,Kariobangi North Ward,Calculus of lower urinary tract,12896.279999999999,2
2094,Kariobangi North Ward,Cellulitis of other sites - Cellulitis,5396.0,1
2095,Kariobangi North Ward,Chest pain - unspecified,7238.44,1
2096,Kariobangi North Ward,Chronic gastritis - unspecified,2868.16,1
2097,Kariobangi North Ward,Chronic laryngitis - Chronic laryngitis and laryngotracheitis,7648.94,1
2098,Kariobangi North Ward,Chronic nasopharyngitis - Chronic rhinitis,16923.52,3
2099,Kariobangi North Ward,Chronic rhinitis,4190.32,2
2100,Kariobangi North Ward,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,4116.0,1
2101,Kariobangi North Ward,Conjunctivitis,7492.8,1
2102,Kariobangi North Ward,Contusion of hip - Superficial injury of hip and thigh,12596.0,1
2103,Kariobangi North Ward,Cough,2361.18,1
2104,Kariobangi North Ward,Dental caries,95584.01999999999,15
2105,Kariobangi North Ward,Dental caries - unspecified,23958.269999999997,4
2106,Kariobangi North Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,4031.33,1
2107,Kariobangi North Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,17093.28,2
2108,Kariobangi North Ward,Disease of upper respiratory tract - unspecified,4107.32,1
2109,Kariobangi North Ward,Disorder of muscle - unspecified,5942.12,1
2110,Kariobangi North Ward,Disorder of urinary system - unspecified,5130.56,1
2111,Kariobangi North Ward,Disorders of tooth development and eruption,6048.0,2
2112,Kariobangi North Ward,Eczema herpeticum - Herpesviral [herpes simplex] infections,1942.3,1
2113,Kariobangi North Ward,Endometriosis,2311.4,1
2114,Kariobangi North Ward,Essential (primary) hypertension,43919.270000000004,9
2115,Kariobangi North Ward,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,6030.36,2
2116,Kariobangi North Ward,Foreign body entering into or through eye or natural orifice,6389.62,1
2117,Kariobangi North Ward,Functional dyspepsia,24453.300000000003,5
2118,Kariobangi North Ward,Gastritis - unspecified,64497.88,17
2119,Kariobangi North Ward,Gastritis and duodenitis,14720.880000000001,4
2120,Kariobangi North Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,8894.34,2
2121,Kariobangi North Ward,Gout,1841.64,1
2122,Kariobangi North Ward,Headache,4614.4,3
2123,Kariobangi North Ward,Hypertensive heart disease,21384.84,4
2124,Kariobangi North Ward,Infections of bladder in pregnancy - Infections of genitourinary tract in pregnancy,5837.2,1
2125,Kariobangi North Ward,Internal derangement of knee,1000.0,1
2126,Kariobangi North Ward,Lumbago with sciatica - Dorsalgia,35910.47,7
2127,Kariobangi North Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,1000.0,1
2128,Kariobangi North Ward,Mononeuropathy - unspecified,3822.4,1
2129,Kariobangi North Ward,Multiple open wounds of forearm - Open wound of forearm,165821.0,1
2130,Kariobangi North Ward,Nausea and vomiting,6920.8,1
2131,Kariobangi North Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,16051.199999999999,3
2132,Kariobangi North Ward,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue - Neoplasm of uncertain or unknown behaviour of other and unspecified sites,1793.18,1
2133,Kariobangi North Ward,Nontoxic goitre - unspecified,4087.44,1
2134,Kariobangi North Ward,Other abnormal uterine and vaginal bleeding,9520.96,3
2135,Kariobangi North Ward,Other lower urinary tract calculus - Calculus of lower urinary tract,3136.96,1
2136,Kariobangi North Ward,Other mononeuropathies,5470.08,1
2137,Kariobangi North Ward,Other specified diabetes mellitus,6897.26,2
2138,Kariobangi North Ward,Other specified rheumatoid arthritis - Other rheumatoid arthritis,3776.0,1
2139,Kariobangi North Ward,Other streptococcal sepsis - Streptococcal sepsis,6767.48,1
2140,Kariobangi North Ward,Other urethritis - Urethritis and urethral syndrome,1873.6,1
2141,Kariobangi North Ward,Other viral pneumonia - Viral pneumonia,4224.22,1
2142,Kariobangi North Ward,Pityriasis versicolor - Other superficial mycoses,4444.0,1
2143,Kariobangi North Ward,Pneumonia due to Streptococcus pneumoniae,13993.0,1
2144,Kariobangi North Ward,Polycystic ovarian syndrome - Ovarian dysfunction,2000.0,1
2145,Kariobangi North Ward,Pulpitis - Diseases of pulp and periapical tissues,19703.65,5
2146,Kariobangi North Ward,Rash and other nonspecific skin eruption,6490.08,2
2147,Kariobangi North Ward,Recurrent oral aphthae - Stomatitis and related lesions,6544.0,2
2148,Kariobangi North Ward,Retained dental root - Other disorders of teeth and supporting structures,3016.19,1
2149,Kariobangi North Ward,Superficial mycosis - unspecified,3336.32,1
2150,Kariobangi North Ward,Supervision of high-risk pregnancy,14134.3,5
2151,Kariobangi North Ward,Supervision of normal pregnancy,4495.52,1
2152,Kariobangi North Ward,Supervision of other high-risk pregnancies - Supervision of high-risk pregnancy,4513.66,1
2153,Kariobangi North Ward,Suppurative and unspecified otitis media,6234.209999999999,2
2154,Kariobangi North Ward,Tear of articular cartilage of knee - current,8128.0,1
2155,Kariobangi North Ward,Tinea corporis - Dermatophytosis,2676.68,1
2156,Kariobangi North Ward,Type 2 diabetes mellitus,28960.93,5
2157,Kariobangi North Ward,Unspecified acute lower respiratory infection,2157.8,1
2158,Kariobangi North Ward,Unspecified diabetes mellitus,22513.18,4
2159,Kariobangi North Ward,Unspecified injury of shoulder and upper arm - Other and unspecified injuries of shoulder and upper arm,12678.6,1
2160,Kariobangi North Ward,Urinary tract infection - site not specified,12054.880000000001,2
2161,Kariobangi North Ward,Varicella [chickenpox],4559.84,1
2162,Kariobangi North Ward,Varicose veins of lower extremities,2608.04,1
2163,Kariobangi South Ward,Abdominal and pelvic pain,5800.0,1
2164,Kariobangi South Ward,Acne conglobata - Acne,1000.0,1
2165,Kariobangi South Ward,Acne vulgaris - Acne,6075.84,1
2166,Kariobangi South Ward,Acute apical periodontitis of pulpal origin - Diseases of pulp and periapical tissues,17969.6,1
2167,Kariobangi South Ward,Acute laryngitis - Acute laryngitis and tracheitis,17207.32,6
2168,Kariobangi South Ward,Acute laryngitis and tracheitis,2719.24,1
2169,Kariobangi South Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,57375.4,7
2170,Kariobangi South Ward,Acute nasopharyngitis [common cold],122447.25,28
2171,Kariobangi South Ward,Acute pharyngitis,37800.07,11
2172,Kariobangi South Ward,Acute sinusitis,4438.4,1
2173,Kariobangi South Ward,Acute tonsillitis,98959.24,26
2174,Kariobangi South Ward,Acute tonsillitis - unspecified,5895.4,1
2175,Kariobangi South Ward,Acute upper respiratory infection - unspecified,22608.2,8
2176,Kariobangi South Ward,Acute upper respiratory infections of multiple and unspecified sites,14362.6,4
2177,Kariobangi South Ward,Acute vaginitis - Other inflammation of vagina and vulva,7581.36,2
2178,Kariobangi South Ward,Adenoviral pneumonia - Viral pneumonia,7922.2,2
2179,Kariobangi South Ward,Alcoholic gastritis - Gastritis and duodenitis,3744.0,1
2180,Kariobangi South Ward,Allergic contact dermatitis,15621.28,4
2181,Kariobangi South Ward,Allergic rhinitis - unspecified,20641.89,6
2182,Kariobangi South Ward,Amoebiasis,7030.87,2
2183,Kariobangi South Ward,Antenatal screening,11944.869999999999,2
2184,Kariobangi South Ward,Antifungal antibiotics - systemically used,2252.16,1
2185,Kariobangi South Ward,Asthma,16635.04,3
2186,Kariobangi South Ward,Asthma - unspecified,1552.32,1
2187,Kariobangi South Ward,Atopic dermatitis,13770.08,3
2188,Kariobangi South Ward,Bacterial pneumonia - unspecified,23361.92,5
2189,Kariobangi South Ward,Bitten by rat,1848.0,1
2190,Kariobangi South Ward,Burn and corrosion of wrist and hand,4977.0,1
2191,Kariobangi South Ward,Calculus of lower urinary tract,10009.73,1
2192,Kariobangi South Ward,Candidiasis,4100.16,1
